,dataset,model,fold,lambda_value,spearman
237,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,9,0.01,0.786615033638181
238,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,9,0.1,0.8019690264199718
239,AMIE_PSEAE_Wrenbeck_2017,RITA regressor,9,0.9,0.7690826692681525
240,UBC9_HUMAN_Weile_2017,RITA regressor,0,0.001,0.5371499022661813
241,UBC9_HUMAN_Weile_2017,RITA regressor,0,0.01,0.6356165518956216
242,UBC9_HUMAN_Weile_2017,RITA regressor,0,0.1,0.6910913724867213
243,UBC9_HUMAN_Weile_2017,RITA regressor,0,0.9,0.7099301703952866
244,UBC9_HUMAN_Weile_2017,RITA regressor,1,0.001,0.5414329189267029
245,UBC9_HUMAN_Weile_2017,RITA regressor,1,0.01,0.6436730187683002
246,UBC9_HUMAN_Weile_2017,RITA regressor,1,0.1,0.702722411558585
247,UBC9_HUMAN_Weile_2017,RITA regressor,1,0.9,0.7048736139778236
248,UBC9_HUMAN_Weile_2017,RITA regressor,2,0.001,0.4923655120922337
249,UBC9_HUMAN_Weile_2017,RITA regressor,2,0.01,0.62584493305695
250,UBC9_HUMAN_Weile_2017,RITA regressor,2,0.1,0.7035429627955192
251,UBC9_HUMAN_Weile_2017,RITA regressor,2,0.9,0.7055295402956249
252,UBC9_HUMAN_Weile_2017,RITA regressor,3,0.001,0.47980305208523166
253,UBC9_HUMAN_Weile_2017,RITA regressor,3,0.01,0.6053414866260353
254,UBC9_HUMAN_Weile_2017,RITA regressor,3,0.1,0.690481975688609
255,UBC9_HUMAN_Weile_2017,RITA regressor,3,0.9,0.6810449443510775
256,UBC9_HUMAN_Weile_2017,RITA regressor,4,0.001,0.5555756625524068
257,UBC9_HUMAN_Weile_2017,RITA regressor,4,0.01,0.6597378109006016
258,UBC9_HUMAN_Weile_2017,RITA regressor,4,0.1,0.728940261498401
259,UBC9_HUMAN_Weile_2017,RITA regressor,4,0.9,0.7067674625814161
260,UBC9_HUMAN_Weile_2017,RITA regressor,5,0.001,0.5172699609953441
261,UBC9_HUMAN_Weile_2017,RITA regressor,5,0.01,0.584160315990315
262,UBC9_HUMAN_Weile_2017,RITA regressor,5,0.1,0.6300005897720771
263,UBC9_HUMAN_Weile_2017,RITA regressor,5,0.9,0.625634363627959
264,UBC9_HUMAN_Weile_2017,RITA regressor,6,0.001,0.6073030048633627
265,UBC9_HUMAN_Weile_2017,RITA regressor,6,0.01,0.7064113883742473
266,UBC9_HUMAN_Weile_2017,RITA regressor,6,0.1,0.7561262447892543
267,UBC9_HUMAN_Weile_2017,RITA regressor,6,0.9,0.7456294870310328
