,dataset,model,fold,lambda_value,spearman
228,AMIE_PSEAE_Wrenbeck_2017,Augmented Potts,7,0.001,0.747046447407753
229,AMIE_PSEAE_Wrenbeck_2017,Augmented Potts,7,0.01,0.7471592021746299
230,AMIE_PSEAE_Wrenbeck_2017,Augmented Potts,7,0.1,0.7470210121449664
231,AMIE_PSEAE_Wrenbeck_2017,Augmented Potts,7,0.9,0.74702246911633
232,AMIE_PSEAE_Wrenbeck_2017,Augmented Potts,8,0.001,0.7567304476988375
233,AMIE_PSEAE_Wrenbeck_2017,Augmented Potts,8,0.01,0.7548865669517936
234,AMIE_PSEAE_Wrenbeck_2017,Augmented Potts,8,0.1,0.7545894283078441
235,AMIE_PSEAE_Wrenbeck_2017,Augmented Potts,8,0.9,0.7544483197046676
236,AMIE_PSEAE_Wrenbeck_2017,Augmented Potts,9,0.001,0.7247408836149009
237,AMIE_PSEAE_Wrenbeck_2017,Augmented Potts,9,0.01,0.7224690804842855
238,AMIE_PSEAE_Wrenbeck_2017,Augmented Potts,9,0.1,0.7221656972747752
239,AMIE_PSEAE_Wrenbeck_2017,Augmented Potts,9,0.9,0.7221782689427605
240,UBC9_HUMAN_Weile_2017,Augmented Potts,0,0.001,0.7139965582489006
241,UBC9_HUMAN_Weile_2017,Augmented Potts,0,0.01,0.7137112997255934
242,UBC9_HUMAN_Weile_2017,Augmented Potts,0,0.1,0.713938539566194
243,UBC9_HUMAN_Weile_2017,Augmented Potts,0,0.9,0.7140103722209736
244,UBC9_HUMAN_Weile_2017,Augmented Potts,1,0.001,0.6660772171223118
245,UBC9_HUMAN_Weile_2017,Augmented Potts,1,0.01,0.6654973677333905
246,UBC9_HUMAN_Weile_2017,Augmented Potts,1,0.1,0.6656056574868182
247,UBC9_HUMAN_Weile_2017,Augmented Potts,1,0.9,0.6651463860502951
248,UBC9_HUMAN_Weile_2017,Augmented Potts,2,0.001,0.7049120818613195
249,UBC9_HUMAN_Weile_2017,Augmented Potts,2,0.01,0.7049016004427782
250,UBC9_HUMAN_Weile_2017,Augmented Potts,2,0.1,0.7050413526899942
251,UBC9_HUMAN_Weile_2017,Augmented Potts,2,0.9,0.705116818903491
252,UBC9_HUMAN_Weile_2017,Augmented Potts,3,0.001,0.7214750712864944
253,UBC9_HUMAN_Weile_2017,Augmented Potts,3,0.01,0.720723186385629
254,UBC9_HUMAN_Weile_2017,Augmented Potts,3,0.1,0.7206874144828052
255,UBC9_HUMAN_Weile_2017,Augmented Potts,3,0.9,0.7199105567441192
256,UBC9_HUMAN_Weile_2017,Augmented Potts,4,0.001,0.7179816412374551
257,UBC9_HUMAN_Weile_2017,Augmented Potts,4,0.01,0.7177930805837782
258,UBC9_HUMAN_Weile_2017,Augmented Potts,4,0.1,0.7179457249224691
259,UBC9_HUMAN_Weile_2017,Augmented Potts,4,0.9,0.7174352988306475
260,UBC9_HUMAN_Weile_2017,Augmented Potts,5,0.001,0.6577802346305057
261,UBC9_HUMAN_Weile_2017,Augmented Potts,5,0.01,0.6579421828807075
262,UBC9_HUMAN_Weile_2017,Augmented Potts,5,0.1,0.6577815098135781
263,UBC9_HUMAN_Weile_2017,Augmented Potts,5,0.9,0.6587761526100928
264,UBC9_HUMAN_Weile_2017,Augmented Potts,6,0.001,0.72726667438629
